SXM, STT, 18/10/2016, AT4, 45
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, CNC, 15
SXM, STT, 18/10/2016, CNT, 60
SXM, SBH, 18/10/2016, DHT, 15
SXM, EIS, 18/10/2016, CNT, 45
SXM, VIJ, 18/10/2016, CNT, 45
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, CNC, 15
SXM, SBH, 18/10/2016, DHT, 15
SXM, SBH, 18/10/2016, CNC, 15
SXM, SJU, 18/10/2016, CNT, 105
SXM, SBH, 18/10/2016, CNC, 15
SXM, SAB, 18/10/2016, DHT, 15
SXM, NEV, 18/10/2016, DHT, 35
SXM, STT, 18/10/2016, CNT, 60
SXM, EIS, 18/10/2016, CNT, 45
SXM, VIJ, 18/10/2016, CNT, 45
SXM, EUX, 18/10/2016, DHT, 20
SXM, SKB, 18/10/2016, AT4, 30
SXM, AXA, 18/10/2016, CNT, 15
SXM, ANU, 18/10/2016, DHT, 50
SBH, SJU, 18/10/2016, PL2, 67
SBH, NEV, 18/10/2016, UNKNOWN, UNKNOWN
SBH, PTP, 18/10/2016, DHT, 60
SBH, SFG, 18/10/2016, CNC, 15
SBH, AXA, 18/10/2016, BNI, 15
SBH, SFG, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, DHT, 15
SBH, SJU, 18/10/2016, PL2, 67
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, DHT, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SJU, 18/10/2016, PL2, 67
SBH, SJU, 18/10/2016, PL2, 67
SBH, PTP, 18/10/2016, DHT, 60
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, DHT, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, DHT, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, DHT, 15
SBH, SJU, 18/10/2016, PL2, 67
SBH, PTP, 18/10/2016, DHT, 60
SBH, SFG, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, ANU, 18/10/2016, PL2, 36
SBH, SXM, 18/10/2016, CNC, 15
SBH, SFG, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SBH, SXM, 18/10/2016, CNC, 15
SFG, SBH, 18/10/2016, CNC, 15
SFG, PTP, 18/10/2016, AT4, 50
SFG, PTP, 18/10/2016, AT7, 55
SFG, SBH, 18/10/2016, CNC, 15
SFG, PTP, 18/10/2016, AT7, 55
SFG, SBH, 18/10/2016, CNC, 15
SFG, PTP, 18/10/2016, AT4, 50
SFG, PTP, 18/10/2016, AT7, 55
SFG, SBH, 18/10/2016, CNC, 15
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, CAY, 18/10/2016, 320, 130
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, SLU, 18/10/2016, AT4, 25
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, SLU, 18/10/2016, AT7, 20
FDF, ORY, 18/10/2016, 77W, 510
FDF, PTP, 18/10/2016, AT4, 45
FDF, ORY, 18/10/2016, 333, 535
FDF, PTP, 18/10/2016, AT7, 45
FDF, ORY, 18/10/2016, 333, 540
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, PTP, 18/10/2016, AT4, 45
FDF, PTP, 18/10/2016, AT7, 45
FDF, SLU, 18/10/2016, AT4, 25
FDF, PTP, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT7, 45
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, 320, 40
PTP, FDF, 18/10/2016, AT7, 45
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT7, 45
PTP, SBH, 18/10/2016, DHT, 60
PTP, FDF, 18/10/2016, AT4, 45
PTP, SFG, 18/10/2016, AT4, 50
PTP, SFG, 18/10/2016, AT7, 55
PTP, ORY, 18/10/2016, 333, 530
PTP, PAP, 18/10/2016, 320, 110
PTP, SJU, 18/10/2016, UNKNOWN, UNKNOWN
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT7, 45
PTP, FDF, 18/10/2016, AT7, 45
PTP, ORY, 18/10/2016, 77W, 505
PTP, ORY, 18/10/2016, 333, 525
PTP, SDQ, 18/10/2016, AT4, 135
PTP, FDF, 18/10/2016, AT7, 45
PTP, SFG, 18/10/2016, AT4, 50
PTP, SJU, 18/10/2016, AT4, 90
PTP, SBH, 18/10/2016, DHT, 60
PTP, DOM, 18/10/2016, AT4, 30
PTP, FDF, 18/10/2016, AT4, 45
PTP, FDF, 18/10/2016, AT7, 45
PTP, ORY, 18/10/2016, 77W, 510
PTP, ORY, 18/10/2016, 333, 530
PTP, SFG, 18/10/2016, AT7, 55
PTP, FDF, 18/10/2016, AT4, 45
PTP, ANU, 18/10/2016, AT7, 30
PTP, FDF, 18/10/2016, AT7, 45
PTP, SBH, 18/10/2016, DHT, 60
PTP, SFG, 18/10/2016, AT4, 50
PTP, SFG, 18/10/2016, AT7, 55
PTP, FDF, 18/10/2016, AT7, 45
CAY, BEL, 18/10/2016, AT7, 128
CAY, ORY, 18/10/2016, 772, 540
CAY, PTP, 18/10/2016, 333, 145
